     203 00100011   0.2945   0.0080  -0.0711   0.0000   100   122    13    15   18.4   21.7    2.3    3.5    93    93    61    41
     204 00100011   0.3020   0.0059   0.0162   0.0000   138   136    18    15   21.2   22.7    5.1    3.5    97    96    56    45
     205 00100011   0.2983  -0.0017   0.0026   0.0000   152   145    17    15   22.1   23.2    4.6    3.5    96    94    49    38
     206 00100011   0.2843  -0.0095  -0.2115   0.0000    93   100    14    13   17.8   20.0    2.9    2.3    95    96    44    37
     207 00100011   0.2837  -0.0014   0.0119   0.0000   130   131    15    13   20.7   22.3    3.5    2.3    96    96    62    38
     208 00100011   0.2919  -0.0025  -0.1985   0.0000   117   116    15    14   19.8   21.3    3.5    2.9    96    96    60    21
     209 00100011   0.2875  -0.0100  -0.0505   0.0000    79    86    12    12   16.4   18.7    1.6    1.6    95    96    21    15
     210 00100011   0.2853  -0.0081  -0.1733   0.0000    35    34    11    10    9.3   10.6    0.8    0.0    88    82    35    15
     211 00100011   0.2928  -0.0105  -0.0265   0.0000    68    97    12    12   15.1   19.7    1.6    1.6    93    97    39    44
     212 00100011   0.2900   0.0072  -0.0624   0.0000   112   118    16    13   19.4   21.4    4.1    2.3    93    93    43    34
     213 00100011   0.2836   0.0090  -0.0662   0.0000   117   148    17    16   19.8   23.4    4.6    4.1    94    97    50    48
     214 00100011   0.2836   0.0141  -0.0621   0.0000   123   127    16    15   20.2   22.1    4.1    3.5    95    95    63    25
     215 00100011   0.2907   0.0096   0.0075   0.0000    92   106    15    13   17.7   20.5    3.5    2.3    96    96    51    50
     216 00100011   0.3001   0.0096  -0.0244   0.0000    77   101    12    12   16.1   20.1    1.6    1.6    93    96    48    24
     217 00100011   0.3015   0.0178  -0.1347   0.0000   157   154    16    16   22.3   23.8    4.1    4.1    97    98    50    33
     218 00100011   0.2846   0.0193   0.0284   0.0000    77    94    12    12   16.1   19.5    1.6    1.6    93    91    48    27
     219 00100011   0.3103   0.0149  -0.0781   0.0000   133   141    15    14   20.9   23.0    3.5    2.9    96    97    57    46
     220 00100011   0.3056   0.0180   0.0185   0.0000   150   158    16    15   21.9   24.0    4.1    3.5    96    97    65    23
     221 00100011   0.2900   0.0204  -0.0746   0.0000   150   152    17    15   21.9   23.6    4.6    3.5    97    93    51    34
     222 00100011   0.2979   0.0063  -0.0578   0.0000   142   158    15    17   21.5   24.0    3.5    4.6    95    97    55    49
     223 00100011   0.2984  -0.0002  -0.0212   0.0000   144   133    17    16   21.6   22.5    4.6    4.1    95    97    50    37
     224 00100011   0.3021   0.0001  -0.0059   0.0000   114   135    15    13   19.6   22.6    3.5    2.3    96    97    44    24
     225 00100011   0.2899  -0.0033  -0.1878   0.0000    73   107    13    10   15.7   20.6    2.3    0.0    89    96    27    14
     226 00100011   0.3167  -0.0016  -0.0644   0.0000   140   149    14    16   21.3   23.5    2.9    4.1    96    97    55    59
     227 00100011   0.2968  -0.0041  -0.0050   0.0000   127   144    15    14   20.5   23.2    3.5    2.9    96    97    47    44
     228 00100011   0.3083  -0.0106  -0.1419   0.0000   126   123    14    13   20.4   21.8    2.9    2.3    96    94    58    29
     229 00100011   0.3037  -0.0054   0.0545   0.0000   116   136    15    14   19.7   22.7    3.5    2.9    94    97    41    38
     230 00100011   0.3086   0.0029  -0.0421   0.0000   146   142    16    17   21.7   23.0    4.1    4.6    96    96    48    28
     231 00100011   0.3095   0.0022  -0.0468   0.0000   147   147    15    18   21.8   23.3    3.5    5.1    93    96    56    52
     232 00100011   0.3302   0.0040  -0.0633   0.0000   118   138    16    16   19.9   22.8    4.1    4.1    95    96    45    38
     233 00100011   0.3227   0.0086  -0.0561   0.0000   168   161    18    16   22.9   24.1    5.1    4.1    97    96    55    41
     234 00100011   0.3041   0.0160  -0.0102   0.0000   131   137    15    16   20.8   22.7    3.5    4.1    95    95    54    36
     235 00100011   0.2819   0.0121   0.0615   0.0000   112   106    16    16   19.4   20.5    4.1    4.1    95    93    62    41
     236 00100011   0.2892   0.0133  -0.0494   0.0000   114   128    16    17   19.6   22.1    4.1    4.6    95    96    38    38
     237 00100011   0.2713   0.0091   0.0293   0.0000   139   123    15    14   21.3   21.8    3.5    2.9    91    91    59    21
     238 00100011   0.2938  -0.0014  -0.0285   0.0000   109   114    13    15   19.2   21.1    2.3    3.5    96    97    40    49
     239 00100011   0.2947  -0.0045   0.0052   0.0000    95   100    15    14   18.0   20.0    3.5    2.9    91    92    31    27
     240 00100011   0.3122  -0.0058   0.0064   0.0000   162   148    18    16   22.6   23.4    5.1    4.1    98    98    66    25
     241 00100011   0.3057  -0.0098  -0.0708   0.0000   116   123    13    14   19.7   21.8    2.3    2.9    95    95    26    59
     242 00100011   0.2984  -0.0125  -0.0656   0.0000   133   157    16    18   20.9   23.9    4.1    5.1    96    97    60    55
     243 00100011   0.3045  -0.0052  -0.0845   0.0000   154   162    18    16   22.2   24.2    5.1    4.1    96    98    51    62
     244 00100011   0.2970   0.0002  -0.0929   0.0000   118    87    15    13   19.9   18.8    3.5    2.3    96    95    68    14
     245 00100011   0.3038  -0.0118  -0.0920   0.0000    62   103    13    14   14.3   20.3    2.3    2.9    91    96    44    27
     246 00100011   0.2711  -0.0119   0.0606   0.0000    54    62    11    12   13.1   15.8    0.8    1.6    89    93    15    22
     247 00100011   0.2973  -0.0238  -0.0860   0.0000   126   143    17    15   20.4   23.1    4.6    3.5    96    94    48    53
     248 00100011   0.3069  -0.0198   0.2414   0.0000   117   108    13    13   19.8   20.7    2.3    2.3    94    92    40    14
     249 00100011   0.2965  -0.0111  -0.0453   0.0000   112   136    15    15   19.4   22.7    3.5    3.5    95    93    35    36
     250 00100011   0.2803   0.0003  -0.0201   0.0000   101   114    16    14   18.5   21.1    4.1    2.9    94    96    41    50
     251 00100011   0.2748   0.0141  -0.0946   0.0000    96   130    14    14   18.1   22.3    2.9    2.9    93    95    55    28
     252 00100011   0.2784   0.0128  -0.0549   0.0000   126   130    15    16   20.4   22.3    3.5    4.1    95    95    39    39
     253 00100011   0.2819   0.0043  -0.0062   0.0000    86    84    13    12   17.1   18.5    2.3    1.6    93    91    41    16
     254 00100011   0.2794   0.0018  -0.1184   0.0000   139   157    17    15   21.3   23.9    4.6    3.5    97    97    63    32
     255 00100011   0.2603   0.0012  -0.0346   0.0000    68    97    12    12   15.1   19.7    1.6    1.6    90    92    45    61
     256 00100011   0.2724   0.0014   0.0919   0.0000   147   151    16    16   21.8   23.6    4.1    4.1    97    96    60    39
     257 00100011   0.2757  -0.0011  -0.0906   0.0000    81    67    13    11   16.6   16.5    2.3    0.8    97    95    36    23
